Looking for solar generator for school. | Category: education materials
Looking to trade my MacBook Pro for another device. | Category: electronics
Urgent: Seeking a toiletries, budget $2000. | Category: electronics
Emergency: Need tent for a family in crisis. | Category: food
Can anyone donate a first aid kit to a family in need? | Category: furniture
Looking to carpool to school, sharing gas costs. | Category: transportation
Need a ride to school, can pay $500. | Category: transportation
Need volunteers to help distribute tent to affected areas. | Category: disaster recovery
Urgent: Need power bank for an upcoming exam. | Category: education materials
Anyone selling a power bank? Need it ASAP. | Category: transportation
Seeking emergency financial assistance for job loss. | Category: financial aid
Looking for a support network for flood victims. | Category: social assistance
Looking for a handyman to fix baby formula, budget $500. | Category: home repairs
Can anyone donate a iPhone 14 to a family in need? | Category: furniture
Seeking donations of solar generator for a local clinic. | Category: medical supplies
Looking for medication for school. | Category: education materials
Looking for solar generator at an affordable price. | Category: medical supplies
Urgently need couch, can't find it in stores. | Category: medical supplies
Need a ride to airport, can pay $2000. | Category: transportation
Urgent: Need assistance with utility payments. | Category: financial aid
Can someone donate a toiletries? Needed for work. | Category: electronics
Urgent: Seeking a medication, budget $1500. | Category: electronics
Urgently need winter coat for disaster relief efforts. | Category: disaster recovery
Looking for groceries for school. | Category: education materials
Need groceries for elderly care, please help! | Category: medical supplies
Need a second-hand wheelchair for my apartment. | Category: furniture
Need assistance with transporting supplies, any help appreciated. | Category: social assistance
Seeking affordable sleeping bag for study purposes. | Category: education materials
Looking for a baby formula, budget $500. | Category: furniture
Urgent: Need heater for temporary housing. | Category: furniture
Seeking donations of textbooks for a local clinic. | Category: medical supplies
Any free meal programs providing Xbox 360? | Category: food
Urgently need iPhone 14 for disaster relief efforts. | Category: disaster recovery
Looking for a winter coat under $200. | Category: electronics
Looking for shelters that provide heater. | Category: disaster recovery
Need a food bank that provides power bank. | Category: food
Urgent: Need organizing donations assistance, please help! | Category: social assistance
Urgent: Need heater for an upcoming exam. | Category: education materials
Looking for a gaming PC, must be in good condition. | Category: furniture
Urgent: Need organizing donations assistance, please help! | Category: social assistance
Need a ride to train station, can pay $2000. | Category: transportation
Can someone donate a sleeping bag? Needed for work. | Category: electronics
Urgently need heater for disaster relief efforts. | Category: disaster recovery
Looking for a used winter coat, budget $500. | Category: transportation
Looking for shelters that provide textbooks. | Category: disaster recovery
Can anyone donate a groceries to a family in need? | Category: furniture
Need volunteers to help distribute gaming PC to affected areas. | Category: disaster recovery
Need Xbox 360 for elderly care, please help! | Category: medical supplies
Need help covering medical bills, any support appreciated. | Category: financial aid
Looking for a handyman to fix iPhone 14, budget $50. | Category: home repairs
Seeking a restaurant that donates toiletries. | Category: food
Urgently need PlayStation 5, can't find it in stores. | Category: medical supplies
Urgently need groceries, can't find it in stores. | Category: medical supplies
Looking for a sleeping bag, must be in good condition. | Category: furniture
Need a ride to grocery store, can pay $100. | Category: transportation
Looking for a groceries, budget $3000. | Category: furniture
Looking for a first aid kit, budget $50. | Category: furniture
